Product Name,Active (Product),Product Code,Product Family,Product Type,List Price,RR Type,Product Description
ZD-HS-MD-L2,1,ZD-HS-MD-L2,IoT Guardian,Services,,ARR,"ZingBox Service for Health Systems, Medical Devices, L2-Threat Detection"
ZB-AP-01,1,ZB-AP-01,IoT Inspector,Hardware,,NRR,ZingBox Hardware Appliance - 1GBs
ZB-IN-ID,1,ZB-IN-ID,IoT Insights,Subscription,,ARR,ZingBox IoT Insights for Connected Devices
ZB-ID-L1,1,ZB-ID-L1,IoT Guardian,Subscription,,ARR,"ZingBox Service for Internet Devices, L1-Discovery"
ZB-ID-L2,1,ZB-ID-L2,IoT Guardian,Subscription,,ARR,"ZingBox IoT Guardian for Connected Devices, L2 - Discovery & Threat Detection"
ZB-ID-L3,1,ZB-ID-L3,IoT Guardian,Subscription,,ARR,"ZingBox IoT Guardian for Connected Devices, L3 - Discovery, Threat Detection & Extended Data Retention"
ZB-ACC-FC-10G-MMF-LCSC-25,1,ZB-ACC-FC-10G-MMF-LCSC-25,Accessories,Accessories,,NRR,"Fiber Cable, 10G, Multi-Mode Fiber, LC/SC, 25FT"
ZB-SOFT-SU-1,1,ZB-SOFT-SU-1,Services,Services,,ARR,Platinum Support for Subscriptions (9/5 US-PST)
ZB-ACC-SFP-10G-MMF,1,ZB-ACC-SFP-10G-MMF,Accessories,Accessories,,NRR,"Fiber Module, SFP, 10G, Multi-Mode Fiber"
ZB-ACC-SFP-10G-SMF,1,ZB-ACC-SFP-10G-SMF,Accessories,Accessories,,NRR,"Fiber Module, SFP, 10G, Single-Mode Fiber"
ZB-ACC-FC-10G-MMF-LCLC-10,1,ZB-ACC-FC-10G-MMF-LCLC-10,Accessories,Accessories,,NRR,"Fiber Cable, 10G, Multi-Mode Fiber, LC/LC, 10FT"
ZB-ACC-FC-10G-MMF-LCLC-15,1,ZB-ACC-FC-10G-MMF-LCLC-15,Accessories,Accessories,,NRR,"Fiber Cable, 10G, Multi-Mode Fiber, LC/LC, 15FT"
ZB-ACC-FC-10G-MMF-LCLC-20,1,ZB-ACC-FC-10G-MMF-LCLC-20,Accessories,Accessories,,NRR,"Fiber Cable, 10G, Multi-Mode Fiber, LC/LC, 20FT"
ZB-ACC-FC-10G-MMF-LCLC-30,1,ZB-ACC-FC-10G-MMF-LCLC-30,Accessories,Accessories,,NRR,"Fiber Cable, 10G, Multi-Mode Fiber, LC/LC, 30FT"
ZB-ACC-FC-10G-MMF-LCLC-40,1,ZB-ACC-FC-10G-MMF-LCLC-40,Accessories,Accessories,,NRR,"Fiber Cable, 10G, Multi-Mode Fiber, LC/LC, 40FT"
