,List Price(Prod),Price In Document,Price Book Name,Active (Price Book),List Price,Product Name,Active (Product),Product Code
,,105,USA Price Book,1,105,ZD-HS-MD-L2,1,ZD-HS-MD-L2
International,115,85,USA Price Book,1,85,ZB-ID-L1,1,ZB-ID-L1
International,140,105,USA Price Book,1,105,ZB-ID-L2,1,ZB-ID-L2
International,180,135,USA Price Book,1,135,ZB-ID-L3,1,ZB-ID-L3
,,7000,USA Price Book,1,7000,ZB-AP-01,1,ZB-AP-01
,,15000,USA Price Book,1,15000,ZB-AP-10,1,ZB-AP-10
International,15000,10000,USA Price Book,1,10000,ZB-VG-PL,1,ZB-VG-PL
International,15,10,USA Price Book,1,10,ZB-VG-ID,1,ZB-VG-ID
,,3500,USA Price Book,1,3500,ZB-AP-005,1,ZB-AP-005
International,1,1,USA Price Book,1,1,ZB-Shipping,1,ZB-Shipping
,,25,USA Price Book,1,25,ZB-IN-ID,1,ZB-IN-ID
,,250,USA Price Book,1,250,ZB-ACC-SFP-10G-MMF,1,ZB-ACC-SFP-10G-MMF
,,500,USA Price Book,1,500,ZB-ACC-SFP-10G-SMF,1,ZB-ACC-SFP-10G-SMF
,,50,USA Price Book,1,50,ZB-ACC-FC-10G-MMF-LCLC-10,1,ZB-ACC-FC-10G-MMF-LCLC-10
,,50,USA Price Book,1,50,ZB-ACC-FC-10G-MMF-LCLC-15,1,ZB-ACC-FC-10G-MMF-LCLC-15
,,50,USA Price Book,1,50,ZB-ACC-FC-10G-MMF-LCLC-20,1,ZB-ACC-FC-10G-MMF-LCLC-20
,,100,USA Price Book,1,100,ZB-ACC-FC-10G-MMF-LCLC-25,1,ZB-ACC-FC-10G-MMF-LCLC-25
,,100,USA Price Book,1,100,ZB-ACC-FC-10G-MMF-LCLC-30,1,ZB-ACC-FC-10G-MMF-LCLC-30
,,100,USA Price Book,1,100,ZB-ACC-FC-10G-MMF-LCLC-40,1,ZB-ACC-FC-10G-MMF-LCLC-40
,,100,USA Price Book,1,100,ZB-ACC-FC-10G-MMF-LCLC-50,1,ZB-ACC-FC-10G-MMF-LCLC-50
,,50,USA Price Book,1,50,ZB-ACC-FC-10G-MMF-LCSC-10,1,ZB-ACC-FC-10G-MMF-LCSC-10
,,50,USA Price Book,1,50,ZB-ACC-FC-10G-MMF-LCSC-15,1,ZB-ACC-FC-10G-MMF-LCSC-15
,,50,USA Price Book,1,50,ZB-ACC-FC-10G-MMF-LCSC-20,1,ZB-ACC-FC-10G-MMF-LCSC-20
,,100,USA Price Book,1,100,ZB-ACC-FC-10G-MMF-LCSC-25,1,ZB-ACC-FC-10G-MMF-LCSC-25
,,100,USA Price Book,1,100,ZB-ACC-FC-10G-MMF-LCSC-30,1,ZB-ACC-FC-10G-MMF-LCSC-30
,,100,USA Price Book,1,100,ZB-ACC-FC-10G-MMF-LCSC-40,1,ZB-ACC-FC-10G-MMF-LCSC-40
,,100,USA Price Book,1,100,ZB-ACC-FC-10G-MMF-LCSC-50,1,ZB-ACC-FC-10G-MMF-LCSC-50
,,250,USA Price Book,1,250,ZB-ACC-MS-2U,1,ZB-ACC-MS-2U
International,3250,2500,USA Price Book,1,2500,ZB-TR-01,1,ZB-TR-01
International,21,21,USA Price Book,1,21,ZB-SOFT-SU-1,1,ZB-SOFT-SU-1
,,700,USA Price Book,1,700,ZB-AP-005-SU,1,ZB-AP-005-SU
,,1400,USA Price Book,1,1400,ZB-AP-01-SU,1,ZB-AP-01-SU
,,3000,USA Price Book,1,3000,ZB-AP-10-SU,1,ZB-AP-10-SU
International,3250,2500,USA Price Book,1,2500,ZB-PS-PS101,1,ZB-PS-PS101
,,800,USA Price Book,1,800,CISCO-SFP-10G-SR,1,CISCO-SFP-10G-SR
,,15000,USA Price Book,1,15000,ZB-AP-10-ANNUAL,1,ZB-AP-10-ANNUAL
,,3000,USA Price Book,1,3000,ZB-AP-SU,1,ZB-AP-SU
,,10000,USA Price Book,1,10000,VG-IN-PL,1,VG-IN-PL
,,No Price (Red),?,1,0,ZB-HS-SU-Platinum,1,ZB-HS-SU-Platinum
,,0,USA Price Book,1,0,ZB-HS-MD-L2,1,ZB-HS-MD-L2
